id,name,points,regiment,regiment_title,status,inactive_date,is_trainee,trainee_points_needed,title
<@898964484067053648>,PIGEON,2,Restoration,,Inactive,,,,
<@870880738243932211>,PINNACLE,2,Restoration,,Inactive,,,,
<@1180212874409422888>,PYRE,2,Restoration,,Inactive,,,,
<@1084600604581699644>,REDTAIL,2,Airforce,,Inactive,,,,
<@994358384520331338>,SANDPIPER,2,Archery,,Inactive,,,,
<@1163544479802859590>,SIERRA,2,Archery,,Active,,,,
<@781976793951371355>,SODIUM,2,Shield,,Active,,,,
<@748947061944352979>,SOLVIEG,2,Shield,,Active,,,,
<@1439555612064092254>,STORMY,2,Archery,,Active,,,,
<@1301997743396491264>,TRENCHANT,2,Archery,,Active,,,,
<@1194383826168840347>,TWILIGHT,2,Restoration,,Inactive,,,,
<@1170920844004970636>,VALENTINE,2,Navy,,Active,,,,
<@429818223869952003>,VERMILLION,2,Archery,,Inactive,,,,
<@1088218698650746960>,WAYWARD,2,Navy,,Inactive,,,,
<@993057413383065611>,WINDHOVER,2,Airforce,,Inactive,,,,
<@1214402189024559155>,ALOUDIA,1,Archery,,Active,,,,
<@1335740836180267028>,APOLLO,1,Navy,,Active,,,,
<@1492548046591102976>,AUREUS,1,Airforce,,Active,,,,
<@1447369585807593624>,BULLSEYE,1,Archery,,Active,,,,
<@1389118063668101170>,CITRINE,1,Archery,,Active,,,,
<@1327035730417160212>,DELTA,1,Shield,,Active,,,,
<@914205666091098113>,DUST DEVIL,1,Archery,,Active,,,,
<@972092033097433088>,FLAME,1,Archery,,Active,,,,
<@1052943003469238272>,GOLDENSTRIKE,1,Archery,,Active,,,,
<@521827632669655061>,KIELBASA,1,Airforce,,Active,,,,
<@1434703801146671175>,MOTHFANG,1,Restoration,,Active,,,,
<@1277349064165298188>,ODYSSEUS,1,Archery,,Active,,,,
<@1230301902546145352>,PARSLEY,1,Shield,,Active,,,,
<@1070522023723401256>,PYRO,1,Shield,,Active,,,,
<@1482309616720150650>,ROMEO,1,Archery,,Active,,,,
<@1399522428606087178>,RUBELLITE,1,Airforce,,Active,,,,
<@467708876125372437>,SASHA,1,Shield,,Active,,,,
<@1469842814648188960>,SUNFALL,1,Shield,,Active,,,,
<@708319327010422805>,YRUKA,1,Shield,,Active,,,,
<@1333856635491319870>,AMARO,0,Archery,,Active,,,,
<@583634407798341634>,BETELGEUSE,0,Navy,,Active,,,,
<@1105329350615773195>,BITTERN,0,Navy,,Active,,,,
<@902333396137689149>,CADUCEUS,0,Restoration,,Active,,,,
<@1418725193278296096>,CATHERINE,0,Shield,,Active,,,,
<@1229997554360516629>,CONDOR,0,Restoration,,Active,,,,
<@1399152486861766798>,COULOIR,0,Restoration,,Active,,,,
<@1236218849557348382>,ENSKY,0,Restoration,,Active,,,,
<@1270783180420419605>,ERYTHEMA,0,Restoration,,Active,,,,
<@1354928210789269656>,FANTA,0,Archery,,Active,,,,
<@823240276348895312>,FIRECREST,0,Archery,,Active,,,,
<@966465722295394324>,FIRESTORM,0,Navy,,Active,,,,
<@1374872721741058059>,GASH,0,Airforce,,Active,,,,
<@1240266437994745876>,GLADIOLUS,0,Airforce,,Active,,,,
<@952764063258132561>,GOLD,0,Navy,,Active,,,,
<@663405336111349764>,GROSBEAK,0,Navy,,Active,,,,
<@1375955758604353566>,HEATHCLIFF,0,Shield,,Active,,,,
<@1484639018602987731>,HEATWAVE,0,Archery,,Active,,,,
<@1177730337804124161>,HYPOXIA,0,Archery,,Active,,,,
<@802235538332581958>,IRE,0,Navy,,Active,,,,
<@850175705429180456>,JASPER,0,Archery,,Active,,,,
<@1429566316066373632>,JETSET,0,Archery,,Active,,,,
<@1128055055929585825>,LASAIR,0,Navy,,Active,,,,
<@1477234811947978834>,LUMINFLARE,0,Restoration,,Active,,,,
<@1352711353718145025>,LYRE,0,Archery,,Inactive,,,,
<@1315734654459842612>,MAGPIE,0,Navy,,Active,,,,
<@795057384459993130>,OSPREY'SBLAZE,0,Archery,,Active,,,,
<@790267916217090048>,PEZZOTAITE,0,Navy,,Active,,,,
<@1419048613157539881>,PRIMALITY,0,Restoration,,Active,,,,
<@1001207442690019418>,PUMA,0,Navy,,Active,,,,
<@720007415180951744>,QUETZAL,0,Restoration,,Active,,,,
<@700144369285726218>,RUFESCENT,0,Restoration,,Active,,,,
<@765353398853697546>,SOLACE,0,Shield,,Active,,,,
<@1205741091379486761>,SOMETIME,0,Archery,,Active,,,,
<@1509271700586365049>,TEINE,0,Navy,,Active,,,,
<@1204905840709083236>,VERREAUX,0,Airforce,,Active,,,,
<@1171250874065109067>,VIVIAN,0,Airforce,,Active,,,,
